Part number,Part link,Package link,Product status,OPN,Infineon package,Package name,Qualification,VDS max,ID  (@25°C) max,Technology,VGS(th),RDS (on) (@10V) max,QG (typ @10V),Budgetary Price €/1k,Polarity,Datasheet link,VGS(th) min,VGS(th) max,RDS (on) (@4.5V) max,QG (typ @4.5V),QG (typ @4.5V) max,QG (typ @10V) max
SPB80P06P G,https://www.infineon.com/part/SPB80P06P-G,https://www.infineon.com/package/PG-TO263-3-1,active and preferred,SPB80P06PGATMA1,PG-TO263-3,D2PAK,Automotive,-60 V,-80 A,Small Signal,-3 V,23 mΩ,115 nC,1.64 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-spb80p06pg-ds-en.pdf,,,,,,
SPD18P06P G,https://www.infineon.com/part/SPD18P06P-G,https://www.infineon.com/package/PG-TO252-3-11,active and preferred,SPD18P06PGBTMA1,PG-TO252-3,DPAK,Automotive,-60 V,-18.6 A,Small Signal,-3 V,130 mΩ,22 nC,0.47 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-spd18p06p-ds-en.pdf,,,,,,
BSZ120P03NS3 G,https://www.infineon.com/part/BSZ120P03NS3-G,https://www.infineon.com/package/PG-TSDSON-8-2,active and preferred,BSZ120P03NS3GATMA1,PG-TSDSON-8,PQFN 3x3,Industrial,-30 V,-40 A,OptiMOS™ P,-2.5 V,12 mΩ,30 nC,0.21 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsz120p03ns3-g-ds-en.pdf,,,,,,
BSZ180P03NS3 G,https://www.infineon.com/part/BSZ180P03NS3-G,https://www.infineon.com/package/PG-TSDSON-8-1,active and preferred,BSZ180P03NS3GATMA1,PG-TSDSON-8,PQFN 3x3,Industrial,-30 V,39.6 A,OptiMOS™ P,-2.5 V,18 mΩ,20 nC,0.18 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsz180p03ns3-g-ds-en.pdf,,,,,,
BSZ086P03NS3E G,https://www.infineon.com/part/BSZ086P03NS3E-G,,active and preferred,BSZ086P03NS3EGATMA1,PG-TSDSON-8,PQFN 3x3,Industrial,-30 V,-40 A,OptiMOS™ P,-2.5 V,8.6 mΩ,43.2 nC,0.26 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsz086p03ns3e-g-ds-en.pdf,,,,,,
BSC084P03NS3 G,https://www.infineon.com/part/BSC084P03NS3-G,https://www.infineon.com/package/PG-TDSON-8-5,active and preferred,BSC084P03NS3GATMA1,PG-TDSON-8,SuperSO8 5x6,Industrial,-30 V,-78.6 A,OptiMOS™ P,-2.5 V,8.4 mΩ,43 nC,0.34 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsc084p03ns3-g-ds-en.pdf,,,,,,
SPD04P10PL G,https://www.infineon.com/part/SPD04P10PL-G,https://www.infineon.com/package/PG-TO252-3-11,active and preferred,SPD04P10PLGBTMA1,PG-TO252-3,DPAK,Automotive,-100 V,-4.2 A,Small Signal,-1.5 V,850 mΩ,12 nC,0.27 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-spd04p10pl-ds-en.pdf,,,,,,
BSZ086P03NS3 G,https://www.infineon.com/part/BSZ086P03NS3-G,https://www.infineon.com/package/PG-TSDSON-8-2,active and preferred,BSZ086P03NS3GATMA1,PG-TSDSON-8,PQFN 3x3,Industrial,-30 V,-40 A,OptiMOS™ P,-2.5 V,8.6 mΩ,43.2 nC,0.27 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsz086p03ns3-g-datasheet-en.pdf,,,,,,
SPD50P03L G,https://www.infineon.com/part/SPD50P03L-G,https://www.infineon.com/package/PG-TO252-5-13,active and preferred,SPD50P03LGBTMA1,PG-TO252-5,DPAK 5-pin,Automotive,-30 V,-50 A,OptiMOS™ P,-1.5 V,7 mΩ,-95 nC,0.72 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-spd50p03lg-ds-en.pdf,,,,,,
IPD068P03L3 G,https://www.infineon.com/part/IPD068P03L3-G,https://www.infineon.com/package/PG-TO252-3-313,active and preferred,IPD068P03L3GATMA1,PG-TO252-3,DPAK,Automotive,-30 V,,OptiMOS™ P3,,,,0.37 ,,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipd068p03l3-g-ds-en.pdf,-1 V,-2 V,11 mΩ,,,
SPP80P06P H,https://www.infineon.com/part/SPP80P06P-H,https://www.infineon.com/package/PG-TO220-3-1,active and preferred,SPP80P06PHXKSA1,PG-TO220-3,TO220,Automotive,-60 V,-80 A,Small Signal,-3 V,23 mΩ,115 nC,1.64 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-spp80p06ph-ds-en.pdf,,,,,,
SPD08P06P G,https://www.infineon.com/part/SPD08P06P-G,https://www.infineon.com/package/PG-TO252-3-311,active and preferred,SPD08P06PGBTMA1,PG-TO252-3,DPAK,Automotive,-60 V,,Small Signal,-3 V,300 mΩ,8.83 nC,0.23 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-spd08p06pg-ds-en.pdf,,,,,,
BSC060P03NS3E G,https://www.infineon.com/part/BSC060P03NS3E-G,https://www.infineon.com/package/PG-TDSON-8-1,active and preferred,BSC060P03NS3EGATMA1,PG-TDSON-8,SuperSO8 5x6,Industrial,-30 V,-100 A,OptiMOS™ P,-2.5 V,6 mΩ,61 nC,0.35 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsc060p03ns3e-g-ds-en.pdf,,,,,,
BSC030P03NS3 G,https://www.infineon.com/part/BSC030P03NS3-G,https://www.infineon.com/package/PG-TDSON-8-1,active and preferred,BSC030P03NS3GAUMA1,PG-TDSON-8,SuperSO8 5x6,Industrial,-30 V,-100 A,OptiMOS™ P,-2.5 V,3 mΩ,140 nC,0.69 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsc030p03ns3g-ds-en.pdf,,,,,,
BSZ180P03NS3E G,https://www.infineon.com/part/BSZ180P03NS3E-G,https://www.infineon.com/package/PG-TSDSON-8-1,active and preferred,BSZ180P03NS3EGATMA1,PG-TSDSON-8,PQFN 3x3,Industrial,-30 V,39.6 A,OptiMOS™ P,-2.5 V,18 mΩ,20 nC,0.2 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsz180p03ns3e-g-ds-en.pdf,,,,,,
IPD042P03L3 G,https://www.infineon.com/part/IPD042P03L3-G,https://www.infineon.com/package/PG-TO252-3-313,active and preferred,IPD042P03L3GATMA1,PG-TO252-3,DPAK,Industrial,-30 V,-70 A,OptiMOS™ P,,4.2 mΩ,131 nC,0.62 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipd042p03l3-g-ds-en.pdf,-2 V,-1 V,,,,
SPD15P10P G,https://www.infineon.com/part/SPD15P10P-G,https://www.infineon.com/package/PG-TO252-3-11,active and preferred,SPD15P10PGBTMA1,PG-TO252-3,DPAK,Automotive,-100 V,-15 A,Small Signal,-3 V,240 mΩ,-37 nC,0.57 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-spd15p10p-g-ds-en.pdf,,,,,,
SPD15P10PL G,https://www.infineon.com/part/SPD15P10PL-G,https://www.infineon.com/package/PG-TO252-3-11,active and preferred,SPD15P10PLGBTMA1,PG-TO252-3,DPAK,Automotive,-100 V,-15 A,Small Signal,-1.5 V,200 mΩ,47 nC,0.62 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-spd15p10pl-ds-en.pdf,,,,,,
SPD30P06P G,https://www.infineon.com/part/SPD30P06P-G,https://www.infineon.com/package/PG-TO252-3-311,active and preferred,SPD30P06PGBTMA1,PG-TO252-3,DPAK,Automotive,-60 V,-30 A,Small Signal,-3 V,75 mΩ,32 nC,0.49 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-spd30p06p-ds-en.pdf,,,,,,
SPD09P06PL G,https://www.infineon.com/part/SPD09P06PL-G,https://www.infineon.com/package/PG-TO252-3-1,active and preferred,SPD09P06PLGBTMA1,PG-TO252-3,DPAK,Automotive,-60 V,-9.7 A,Small Signal,-1.5 V,250 mΩ,14 nC,0.28 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-spd09p06pl-ds-en.pdf,,,,,,
IPB110P06LM,https://www.infineon.com/part/IPB110P06LM,https://www.infineon.com/package/PG-TO263-3-2,active and preferred,IPB110P06LMATMA1,PG-TO263-3,D2PAK,Industrial,-60 V,-100 A,OptiMOS™,-1.5 V,11 mΩ,-281 nC,1.47 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipb110p06lm-ds-en.pdf,,,16 mΩ,,,
IPD380P06NM,https://www.infineon.com/part/IPD380P06NM,https://www.infineon.com/package/PG-TO252-3-313,active and preferred,IPD380P06NMATMA1,PG-TO252-3,DPAK,Industrial,-60 V,-35 A,OptiMOS™,-3 V,38 mΩ,-63 nC,0.62 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipd380p06nm-ds-en.pdf,,,,,,
IPD650P06NM,https://www.infineon.com/part/IPD650P06NM,https://www.infineon.com/package/PG-TO252-3-313,active and preferred,IPD650P06NMATMA1,PG-TO252-3,DPAK,Industrial,-60 V,-22 A,OptiMOS™,-3 V,65 mΩ,-39 nC,0.5 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipd650p06nm-ds-en.pdf,,,,,,
IPD25DP06NM,https://www.infineon.com/part/IPD25DP06NM,https://www.infineon.com/package/PG-TO252-3-313,active and preferred,IPD25DP06NMATMA1,PG-TO252-3,DPAK,Industrial,-60 V,-6.5 A,OptiMOS™,-3 V,250 mΩ,-10.6 nC,0.23 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipd25dp06nm-ds-en.pdf,,,,,,
IPB330P10NM,https://www.infineon.com/part/IPB330P10NM,https://www.infineon.com/package/PG-TO263-3-2,active and preferred,IPB330P10NMATMA1,PG-TO263-3,D2PAK,Industrial,-100 V,-62 A,OptiMOS™,,33 mΩ,-189 nC,1.75 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipb330p10nm-datasheet-en.pdf,-2.1 V,-4 V,,,,
IPB19DP10NM,https://www.infineon.com/part/IPB19DP10NM,https://www.infineon.com/package/PG-TO263-3-2,active and preferred,IPB19DP10NMATMA1,PG-TO263-3,D2PAK,Industrial,-100 V,-13.8 A,OptiMOS™,,185 mΩ,-36 nC,0.62 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipb19dp10nm-datasheet-en.pdf,-2.1 V,-4 V,,,,
IPB720P15LM,https://www.infineon.com/part/IPB720P15LM,https://www.infineon.com/package/PG-TO263-3-2,active and preferred,IPB720P15LMATMA1,PG-TO263-3,D2PAK,Industrial,-150 V,-41 A,OptiMOS™,,72 mΩ,-224 nC,1.87 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipb720p15lm-datasheet-en.pdf,-1 V,-2 V,73 mΩ,-110 nC,,
IPB320P10LM,https://www.infineon.com/part/IPB320P10LM,https://www.infineon.com/package/PG-TO263-3-2,active and preferred,IPB320P10LMATMA1,PG-TO263-3,D2PAK,Industrial,-100 V,-63 A,OptiMOS™,,32 mΩ,-219 nC,1.73 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipb320p10lm-datasheet-en.pdf,-1 V,-2 V,37 mΩ,-110 nC,,
IPD11DP10NM,https://www.infineon.com/part/IPD11DP10NM,https://www.infineon.com/package/PG-TO252-3-313,active and preferred,IPD11DP10NMATMA1,PG-TO252-3,DPAK,Industrial,-100 V,-22 A,OptiMOS™,,111 mΩ,-59 nC,0.51 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipd11dp10nm-datasheet-en.pdf,-2.1 V,-4 V,,,,
IPD18DP10LM,https://www.infineon.com/part/IPD18DP10LM,https://www.infineon.com/package/PG-TO252-3-313,active and preferred,IPD18DP10LMATMA1,PG-TO252-3,DPAK,Industrial,-100 V,-13.9 A,OptiMOS™,,178 mΩ,-42 nC,0.45 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipd18dp10lm-datasheet-en.pdf,-1 V,-2 V,200 mΩ,-21 nC,,
IPD19DP10NM,https://www.infineon.com/part/IPD19DP10NM,https://www.infineon.com/package/PG-TO252-3-313,active and preferred,IPD19DP10NMATMA1,PG-TO252-3,DPAK,Industrial,-100 V,-13.7 A,OptiMOS™,,186 mΩ,-36 nC,0.41 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipd19dp10nm-datasheet-en.pdf,-2 V,-4 V,,,,
ISP98DP10LM,https://www.infineon.com/part/ISP98DP10LM,https://www.infineon.com/package/PG-SOT223-4-21,active and preferred,ISP98DP10LMXTSA1,PG-SOT223-4,SOT-223,Industrial,-100 V,-1.55 A,OptiMOS™,-1.5 V,980 mΩ,-7.2 nC,0.12 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-isp98dp10lm-datasheet-en.pdf,-1 V,-2 V,1050 mΩ,-3.6 nC,,
ISP16DP10LM,https://www.infineon.com/part/ISP16DP10LM,https://www.infineon.com/package/PG-SOT223-4-21,active and preferred,ISP16DP10LMXTSA1,PG-SOT223-4,SOT-223,Industrial,-100 V,-3.9 A,OptiMOS™,-1.5 V,160 mΩ,-42 nC,0.33 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-isp16dp10lm-datasheet-en.pdf,-1 V,-2 V,190 mΩ,-21 nC,,
ISP20EP10LM,https://www.infineon.com/part/ISP20EP10LM,https://www.infineon.com/package/PG-SOT223-4-21,active and preferred,ISP20EP10LMXTSA1,PG-SOT223-4,SOT-223,Industrial,-100 V,-0.99 A,OptiMOS™,-1.5 V,2000 mΩ,-3.5 nC,0.1 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-isp20ep10lm-datasheet-en.pdf,-1 V,-2 V,2200 mΩ,-1.8 nC,,
IPP330P10NM,https://www.infineon.com/part/IPP330P10NM,https://www.infineon.com/package/PG-TO220-3-1,active and preferred,IPP330P10NMAKSA1,PG-TO220-3,TO220,Industrial,-100 V,-62 A,OptiMOS™,,33 mΩ,-189 nC,1.74 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipp330p10nm-datasheet-en.pdf,-2.1 V,-4 V,,,,
ISP14EP15LM,https://www.infineon.com/part/ISP14EP15LM,https://www.infineon.com/package/PG-SOT223-4-21,active and preferred,ISP14EP15LMXTSA1,PG-SOT223-4,SOT-223,Industrial,-150 V,-1.29 A,OptiMOS™,-1.5 V,1380 mΩ,-11.6 nC,0.14 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-isp14ep15lm-datasheet-en.pdf,-1 V,-2 V,1400 mΩ,-6 nC,,
IPD42DP15LM,https://www.infineon.com/part/IPD42DP15LM,https://www.infineon.com/package/PG-TO252-3-313,active and preferred,IPD42DP15LMATMA1,PG-TO252-3,DPAK,Industrial,-150 V,-9 A,OptiMOS™,,420 mΩ,-43 nC,0.5 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipd42dp15lm-datasheet-en.pdf,-1 V,-2 V,430 mΩ,-21 nC,,
ISC16DP15LM,https://www.infineon.com/part/ISC16DP15LM,https://www.infineon.com/package/PG-TDSON-8-58,active and preferred,ISC16DP15LMATMA1,PG-TDSON-8,SuperSO8,Industrial,-150 V,-22 A,OptiMOS™,,160 mΩ,-94 nC,,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-isc16dp15lm-datasheet-en.pdf,-1 V,-2 V,160 mΩ,-46 nC,,
ISC240P06LM,https://www.infineon.com/part/ISC240P06LM,https://www.infineon.com/package/PG-TDSON-8-58,active and preferred,ISC240P06LMATMA1,PG-TDSON-8,SuperSO8,Industrial,-60 V,-59 A,OptiMOS™,,24 mΩ,-102 nC,,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-isc240p06lm-datasheet-en.pdf,-1 V,-2 V,32 mΩ,-51 nC,,
ISC750P10LM,https://www.infineon.com/part/ISC750P10LM,https://www.infineon.com/package/PG-TDSON-8-58,active and preferred,ISC750P10LMATMA1,PG-TDSON-8,SuperSO8,Industrial,-100 V,-32 A,OptiMOS™,,75 mΩ,-92 nC,,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-isc750p10lm-datasheet-en.pdf,-1 V,-2 V,86 mΩ,-46 nC,,
ISC800P06LM,https://www.infineon.com/part/ISC800P06LM,https://www.infineon.com/package/PG-TDSON-8-45,active and preferred,ISC800P06LMATMA1,PG-TDSON-8,SuperSO8 5x6,Industrial,-60 V,-19.6 A,OptiMOS™,,80 mΩ,-11.2 nC,,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-isc800p06lm-datasheet-en.pdf,-1 V,-2 V,100 mΩ,-16 nC,,
ISZ15EP15LM,https://www.infineon.com/part/ISZ15EP15LM,https://www.infineon.com/package/PG-TSDSON-8-26,active and preferred,ISZ15EP15LMATMA1,PG-TSDSON-8,PQFN 3.3 x 3.3,Industrial,-150 V,-2.7 A,OptiMOS™,,1500 mΩ,-11 nC,,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-isz15ep15lm-datasheet-en.pdf,-1 V,-2 V,1600 mΩ,-5.5 nC,,
ISZ24DP10LM,https://www.infineon.com/part/ISZ24DP10LM,https://www.infineon.com/package/PG-TSDSON-8-26,active and preferred,ISZ24DP10LMATMA1,PG-TSDSON-8,PQFN 3.3 x 3.3,Industrial,-100 V,-10.3 A,OptiMOS™,,245 mΩ,-29.6 nC,,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-isz24dp10lm-datasheet-en.pdf,-1 V,-2 V,280 mΩ,-14.9 nC,,
ISZ56DP15LM,https://www.infineon.com/part/ISZ56DP15LM,https://www.infineon.com/package/PG-TSDSON-8-26,active and preferred,ISZ56DP15LMATMA1,PG-TSDSON-8,PQFN 3.3 x 3.3,Industrial,-150 V,-6.7 A,OptiMOS™,,560 mΩ,-30 nC,,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-isz56dp15lm-datasheet-en.pdf,-1 V,-2 V,550 mΩ,-15.2 nC,,
ISZ75DP15LM,https://www.infineon.com/part/ISZ75DP15LM,https://www.infineon.com/package/PG-TSDSON-8-26,active and preferred,ISZ75DP15LMATMA1,PG-TSDSON-8,PQFN 3.3 x 3.3,Industrial,-150 V,-5.1 A,OptiMOS™,,750 mΩ,-22.9 nC,,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-isz75dp15lm-datasheet-en.pdf,-1 V,-2 V,770 mΩ,-11.6 nC,,
ISZ810P06LM,https://www.infineon.com/part/ISZ810P06LM,https://www.infineon.com/package/PG-TSDSON-8-26,active and preferred,ISZ810P06LMATMA1,PG-TSDSON-8,PQFN 3.3 x 3.3,Industrial,-60 V,-19.5 A,OptiMOS™,,81 mΩ,-32.2 nC,,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-isz810p06lm-datasheet-en.pdf,-1 V,-2 V,105 mΩ,-16 nC,,
ISP670P06NMA,https://www.infineon.com/part/ISP670P06NMA,https://www.infineon.com/package/PG-SOT223-4-21,active and preferred,ISP670P06NMAXTSA1,PG-SOT223-4,SOT-223,Automotive,-60 V,-6.4 A,Small Power,,67 mΩ,-36 nC,,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-isp670p06nma-datasheet-en.pdf,-2.1 V,-4 V,,,,
ISP16DP10LMA,https://www.infineon.com/part/ISP16DP10LMA,https://www.infineon.com/package/PG-SOT223-4-21,active and preferred,ISP16DP10LMAXTSA1,PG-SOT223-4,SOT-223,Automotive,-100 V,-3.9 A,Small Power,,167 mΩ,-41 nC,,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-isp16dp10lma-datasheet-en.pdf,-1 V,-2 V,190 mΩ,-21 nC,,
IPDQ60R037CM8,https://www.infineon.com/part/IPDQ60R037CM8,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,IPDQ60R037CM8XTMA1,PG-HDSOP-22,Q-DPAK,Industrial,600 V,58 A,CoolMOS™ 8,4.2 V,37 mΩ,79 nC,3.02 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipdq60r037cm8-datasheet-en.pdf,3.7 V,4.7 V,,,,
IPDQ60R016CM8,https://www.infineon.com/part/IPDQ60R016CM8,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,IPDQ60R016CM8XTMA1,PG-HDSOP-22,Q-DPAK,Industrial,600 V,116 A,CoolMOS™ 8,4.2 V,16 mΩ,171 nC,5.54 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipdq60r016cm8-datasheet-en.pdf,3.7 V,4.7 V,,,,
IPDD60R180CM8,https://www.infineon.com/part/IPDD60R180CM8,https://www.infineon.com/package/PG-HDSOP-10-1,active and preferred,IPDD60R180CM8XTMA1,PG-HDSOP-10,D-DPAK,Industrial,600 V,16 A,CoolMOS™ 8,4.2 V,180 mΩ,17 nC,0.75 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipdd60r180cm8-datasheet-en.pdf,3.7 V,4.7 V,,,,
IPDD60R037CM8,https://www.infineon.com/part/IPDD60R037CM8,https://www.infineon.com/package/PG-HDSOP-10-1,active and preferred,IPDD60R037CM8XTMA1,PG-HDSOP-10,D-DPAK,Industrial,600 V,65 A,CoolMOS™ 8,4.2 V,37 mΩ,79 nC,2.78 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipdd60r037cm8-datasheet-en.pdf,3.7 V,4.7 V,,,,
IPD60R600CM8,https://www.infineon.com/part/IPD60R600CM8,,active and preferred,IPD60R600CM8XTMA1,PG-TO252-3,DPAK,Industrial,600 V,5 A,CoolMOS™ 8,4.2 V,600 mΩ,6 nC,0.28 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipd60r600cm8-datasheet-en.pdf,3.7 V,4.7 V,,,,
IPD60R180CM8,https://www.infineon.com/part/IPD60R180CM8,,active and preferred,IPD60R180CM8XTMA1,PG-TO252-3,DPAK,Industrial,600 V,15 A,CoolMOS™ 8,4.2 V,180 mΩ,17 nC,0.62 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipd60r180cm8-datasheet-en.pdf,3.7 V,4.7 V,,,,
IPP60R016CM8,https://www.infineon.com/part/IPP60R016CM8,https://www.infineon.com/package/PG-TO220-3-1,active and preferred,IPP60R016CM8XKSA1,PG-TO220-3,TO220,Industrial,600 V,116 A,CoolMOS™ 8,4.2 V,16 mΩ,171 nC,5.07 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipp60r016cm8-datasheet-en.pdf,3.7 V,4.7 V,,,,
IPAN60R180CM8,https://www.infineon.com/part/IPAN60R180CM8,https://www.infineon.com/package/PG-TO220-3-323,active and preferred,IPAN60R180CM8XKSA1,PG-TO220-3,TO220 FullPAK narrow leads,Industrial,600 V,,CoolMOS™ 8,4.2 V,180 mΩ,17 nC,0.71 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipan60r180cm8-datasheet-en.pdf,3.7 V,4.7 V,,,,
IPDQ60R007CM8,https://www.infineon.com/part/IPDQ60R007CM8,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,IPDQ60R007CM8XTMA1,PG-HDSOP-22,Q-DPAK,Industrial,600 V,228 A,CoolMOS™ 8,4.2 V,7 mΩ,370 nC,12.58 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipdq60r007cm8-datasheet-en.pdf,3.7 V,4.7 V,,,,
IPT60R180CM8,https://www.infineon.com/part/IPT60R180CM8,https://www.infineon.com/package/PG-HSOF-8-2,active and preferred,IPT60R180CM8XTMA1,PG-HSOF-8,TOLL,Industrial,600 V,14 A,CoolMOS™ 8,4.2 V,180 mΩ,17 nC,0.75 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipt60r180cm8-datasheet-en.pdf,3.7 V,4.7 V,,,,
IPT60R037CM8,https://www.infineon.com/part/IPT60R037CM8,https://www.infineon.com/package/PG-HSOF-8-2,active and preferred,IPT60R037CM8XTMA1,PG-HSOF-8,TOLL,Industrial,600 V,55 A,CoolMOS™ 8,4.2 V,37 mΩ,79 nC,2.64 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipt60r037cm8-datasheet-en.pdf,3.7 V,4.7 V,,,,
IPT60R016CM8,https://www.infineon.com/part/IPT60R016CM8,https://www.infineon.com/package/PG-HSOF-8-2,active and preferred,IPT60R016CM8XTMA1,PG-HSOF-8,TOLL,Industrial,600 V,114 A,CoolMOS™ 8,4.2 V,16 mΩ,171 nC,5.09 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipt60r016cm8-datasheet-en.pdf,3.7 V,4.7 V,,,,
IPP60R180CM8,https://www.infineon.com/part/IPP60R180CM8,https://www.infineon.com/package/PG-TO220-3-1,active and preferred,IPP60R180CM8XKSA1,PG-TO220-3,TO220,Industrial,600 V,16 A,CoolMOS™ 8,4.2 V,180 mΩ,17 nC,0.71 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipp60r180cm8-datasheet-en.pdf,3.7 V,4.7 V,,,,
IPP60R037CM8,https://www.infineon.com/part/IPP60R037CM8,https://www.infineon.com/package/PG-TO220-3-1,active and preferred,IPP60R037CM8XKSA1,PG-TO220-3,TO220,Industrial,600 V,58 A,CoolMOS™ 8,4.2 V,37 mΩ,79 nC,2.6 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipp60r037cm8-datasheet-en.pdf,3.7 V,4.7 V,,,,
IPW60R037CM8,https://www.infineon.com/part/IPW60R037CM8,https://www.infineon.com/package/PG-TO247-3-58,active and preferred,IPW60R037CM8XKSA1,PG-TO247-3,TO247,Industrial,600 V,53 A,CoolMOS™ 8,4.2 V,37 mΩ,79 nC,3.42 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw60r037cm8-datasheet-en.pdf,3.7 V,4.7 V,,,,
IPW60R016CM8,https://www.infineon.com/part/IPW60R016CM8,https://www.infineon.com/package/PG-TO247-3-58,active and preferred,IPW60R016CM8XKSA1,PG-TO247-3,TO247,Industrial,600 V,100 A,CoolMOS™ 8,4.2 V,16 mΩ,171 nC,6.29 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw60r016cm8-datasheet-en.pdf,3.7 V,4.7 V,,,,
IPZA60R037CM8,https://www.infineon.com/part/IPZA60R037CM8,https://www.infineon.com/package/PG-TO247-4-12,active and preferred,IPZA60R037CM8XKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Industrial,600 V,53 A,CoolMOS™ 8,4.2 V,37 mΩ,79 nC,3.76 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipza60r037cm8-datasheet-en.pdf,3.7 V,4.7 V,,,,
IPZA60R016CM8,https://www.infineon.com/part/IPZA60R016CM8,https://www.infineon.com/package/PG-TO247-4-12,active and preferred,IPZA60R016CM8XKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Industrial,600 V,100 A,CoolMOS™ 8,4.2 V,16 mΩ,171 nC,6.92 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipza60r016cm8-datasheet-en.pdf,3.7 V,4.7 V,,,,
IPTA60R180CM8,https://www.infineon.com/part/IPTA60R180CM8,https://www.infineon.com/package/PG-LHSOF-4-1,active and preferred,IPTA60R180CM8XTMA1,PG-LHSOF-4,Thin-TOLL,Industrial,600 V,18 A,CoolMOS™ 8,4.2 V,180 mΩ,17 nC,0.71 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipta60r180cm8-datasheet-en.pdf,3.7 V,4.7 V,,,,
