Part Number,Datasheet,Stock Check,Status,Configuration,Technology,Type,Package,MSL,AEC-Q,VDS (V),VGS ±(V),ID Max. (A),VGS(th) Min. (V),VGS(th) Typ. (V),VGS(th) Max. (V),RDS(ON) @ 10V Typ. (mΩ),RDS(ON) @ 10V Max. (mΩ),RDS(ON) @ 4.5V Typ. (mΩ),RDS(ON) @ 4.5V Max. (mΩ),Qg (nC) @ 10V,Qg (nC) @ 4.5V,Qgs (nC),Qgd (nC),Ciss (pF),Coss (pF),Crss (pF),TJ Max. (°C),RoHS Compliant,Halogen-Free Standard,Solderability Standard,Terminal Finish,Product Weight(g),Flammability Rating
TSM60NE285CH,https://services.taiwansemi.com/storage/resources/datasheet/TSM60NE285CH_B2407.pdf,https://www.taiwansemi.com/en/stock-check/TSM60NE285CH/,Active,Single,Super Junction G4,N-Channel,TO-251 (I-PAK),,No,600,30,15.0,4.0,4.8,6.0,259.0,285.0,,,22.0,,7.7,14.0,884.0,30.0,8.0,150,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,0.39851,UL 94 V-0
TSM60NE285CP,https://services.taiwansemi.com/storage/resources/datasheet/TSM60NE285CP_B2407.pdf,https://www.taiwansemi.com/en/stock-check/TSM60NE285CP/,Active,Single,Super Junction G4,N-Channel,TO-252 (D-PAK),,No,600,30,15.0,4.0,4.8,6.0,259.0,285.0,,,22.0,,7.7,14.0,884.0,30.0,8.0,150,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,0.39851,UL 94 V-0
TSM60NE048PW,https://services.taiwansemi.com/storage/resources/datasheet/TSM60NE048PW_B2407.pdf,https://www.taiwansemi.com/en/stock-check/TSM60NE048PW/,Active,Single,Super Junction G4,N-Channel,TO-247,,No,600,30,61.0,4.0,4.7,6.0,42.0,48.0,,,114.0,,39.0,62.0,5023.0,129.0,14.0,150,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,0.39851,UL 94 V-0
TSM60NE285CIT,https://services.taiwansemi.com/storage/resources/datasheet/TSM60NE285CIT_B2407.pdf,https://www.taiwansemi.com/en/stock-check/TSM60NE285CIT/,Active,Single,Super Junction G4,N-Channel,ITO-220TL,,No,600,30,9.5,4.0,4.8,6.0,239.0,285.0,,,22.0,,7.5,12.0,894.0,30.0,7.0,150,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,1.584,UL 94 V-0
TSM60NE145CIT,https://services.taiwansemi.com/storage/resources/datasheet/TSM60NE145CIT_B2407.pdf,https://www.taiwansemi.com/en/stock-check/TSM60NE145CIT/,Active,Single,Super Junction G4,N-Channel,ITO-220TL,,No,600,30,14.5,4.0,4.9,6.0,117.0,145.0,,,40.0,,12.0,22.0,1661.0,49.0,6.0,150,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,1.584,
TSM60NE200CIT,https://services.taiwansemi.com/storage/resources/datasheet/TSM60NE200CIT_B2407.pdf,https://www.taiwansemi.com/en/stock-check/TSM60NE200CIT/,Active,Single,Super Junction G4,N-Channel,ITO-220TL,,No,600,30,12.0,4.0,4.8,6.0,168.0,200.0,,,30.0,,10.0,16.0,1238.0,40.0,7.0,150,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,1.584,
TSM60NE069CIT,https://services.taiwansemi.com/storage/resources/datasheet/TSM60NE069CIT_B2407.pdf,https://www.taiwansemi.com/en/stock-check/TSM60NE069CIT/,Active,Single,Super Junction G4,N-Channel,ITO-220TL,,No,600,30,24.0,4.0,4.8,6.0,52.0,69.0,,,89.0,,23.0,50.0,3551.0,96.0,12.0,150,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,1.584,
TSM60NE069PW,https://services.taiwansemi.com/storage/resources/datasheet/TSM60NE069PW_B2407.pdf,https://www.taiwansemi.com/en/stock-check/TSM60NE069PW/,Active,Single,Super Junction G4,N-Channel,TO-247,,No,600,30,51.0,4.0,4.8,6.0,55.0,69.0,,,86.0,,27.0,50.0,3566.0,99.0,6.0,150,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,0.39851,UL 94 V-0
TSM60NE084CIT,https://services.taiwansemi.com/storage/resources/datasheet/TSM60NE084CIT_B2407.pdf,https://www.taiwansemi.com/en/stock-check/TSM60NE084CIT/,Active,Single,Super Junction G4,N-Channel,ITO-220TL,,No,600,30,21.0,4.0,4.8,6.0,67.0,84.0,,,69.0,,20.0,37.0,2930.0,80.0,10.0,150,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,1.584,
TSM60NE084PW,https://services.taiwansemi.com/storage/resources/datasheet/TSM60NE084PW_B2407.pdf,https://www.taiwansemi.com/en/stock-check/TSM60NE084PW/,Active,Single,Super Junction G4,N-Channel,TO-247,,No,600,30,42.0,4.0,4.7,6.0,71.0,84.0,,,68.0,,23.0,37.0,2939.0,81.0,6.0,150,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,0.39851,UL 94 V-0
